
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
8705          0x2201          Digi International firmware, load address: 0x4F532043, entry point: 0x65722041,
8782          0x224E          Digi International firmware, load address: 0x6164696E, entry point: 0x67697461,
8808          0x2268          Digi International firmware, load address: 0x0A000000, entry point: 0x4A756D70,
8847          0x228F          Digi International firmware, load address: 0x2046726F, entry point: 0x67697461,
8873          0x22A9          Digi International firmware, load address: 0x64647220, entry point: 0x30303830,
8925          0x22DD          Digi International firmware, load address: 0x64647220, entry point: 0x30304330,
283003        0x4517B         Digi International firmware, load address: 0x65720D0A, entry point: 0x2053746F,
283040        0x451A0         Digi International firmware, load address: 0x7465720D, entry point: 0x20205374,
410051        0x641C3         Digi International firmware, load address: 0x65720D0A, entry point: 0x2053746F,
410088        0x641E8         Digi International firmware, load address: 0x7465720D, entry point: 0x20205374,
8619091       0x838453        NSP firmware header, little endian, header size: 1145787475, image size: 84, kernel offset: 1145918547, header version: 1263813712,
9202384       0x8C6AD0        Digi International firmware, load address: 0x696E6720, entry point: 0x65732044,
9248253       0x8D1DFD        Digi International firmware, load address: 0x001FE500, entry point: 0x00D0E514,
10357837      0x9E0C4D        Copyright string: "Copyright MGC 2003 - Nucleus PLUS - ARM922T_LH7A400 ADS v. 1.14.1"
10446703      0x9F676F        Copyright string: "Copyright 1995-1998 Jean-loup Gailly "
10449975      0x9F7437        Copyright string: "Copyright 1995-1998 Mark Adler "
10549513      0xA0F909        Digi International firmware, load address: 0x4F532043, entry point: 0x65722041,
10549590      0xA0F956        Digi International firmware, load address: 0x6164696E, entry point: 0x67697461,
10549616      0xA0F970        Digi International firmware, load address: 0x0A000000, entry point: 0x4A756D70,
10549655      0xA0F997        Digi International firmware, load address: 0x2046726F, entry point: 0x67697461,
10549681      0xA0F9B1        Digi International firmware, load address: 0x64647220, entry point: 0x30303830,
10549733      0xA0F9E5        Digi International firmware, load address: 0x64647220, entry point: 0x30304330,
12814303      0xC387DF        NSP firmware header, little endian, header size: 1145787475, image size: 84, kernel offset: 1145918547, header version: 1263813712,
13413500      0xCCAC7C        Digi International firmware, load address: 0x696E6720, entry point: 0x65732044,
13459017      0xCD5E49        Digi International firmware, load address: 0x001FE500, entry point: 0x00D0E514,
14637917      0xDF5B5D        Copyright string: "Copyright MGC 2003 - Nucleus PLUS - ARM922T_LH7A400 ADS v. 1.14.1"
14728623      0xE0BDAF        Copyright string: "Copyright 1995-1998 Jean-loup Gailly "
14731895      0xE0CA77        Copyright string: "Copyright 1995-1998 Mark Adler "
14834925      0xE25CED        Digi International firmware, load address: 0x4F532043, entry point: 0x65722041,
14835002      0xE25D3A        Digi International firmware, load address: 0x6164696E, entry point: 0x67697461,
14835028      0xE25D54        Digi International firmware, load address: 0x0A000000, entry point: 0x4A756D70,
14835067      0xE25D7B        Digi International firmware, load address: 0x2046726F, entry point: 0x67697461,
14835093      0xE25D95        Digi International firmware, load address: 0x64647220, entry point: 0x30303830,
14835145      0xE25DC9        Digi International firmware, load address: 0x64647220, entry point: 0x30304330,
20971540      0x1400014       Zlib compressed data, best compression
23276812      0x1632D0C       CRC32 polynomial table, little endian

