DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
4292          0x10C4          ARM executable code, 32-bit, little endian, at least 1015 valid instructions
3145727       0x2FFFFF        MIPS executable code, 32/64-bit, big endian, at least 1250 valid instructions
3801088       0x3A0000        ARM executable code, 32-bit, little endian, at least 1250 valid instructions
4195292       0x4003DC        ARM executable code, 16-bit (Thumb), little endian, at least 564 valid instructions
7930102       0x7900F6        MIPS executable code, 32/64-bit, little endian, at least 1250 valid instructions
8397284       0x8021E4        ARM executable code, 32-bit, little endian, at least 597 valid instructions
9440540       0x900D1C        ARM executable code, 32-bit, little endian, at least 856 valid instructions
10500364      0xA0390C        ARM executable code, 16-bit (Thumb), little endian, at least 530 valid instructions
12580971      0xBFF86B        MIPS executable code, 32/64-bit, big endian, at least 500 valid instructions
12591100      0xC01FFC        ARM executable code, 32-bit, little endian, at least 1250 valid instructions
13710701      0xD1356D        ARM executable code, 16-bit (Thumb), little endian, at least 620 valid instructions
